Street,From,To,Side,Capacity*,13/05/2016 8:00,13/05/2016 9:30,13/05/2016 11:00,13/05/2016 12:30,13/05/2016 14:00,13/05/2016 15:30,13/05/2016 17:00,13/05/2016 21:30,14/05/2016 8:00,14/05/2016 9:30,14/05/2016 11:00,14/05/2016 12:30,14/05/2016 14:00,14/05/2016 15:30,14/05/2016 17:00
Davies Street,Mair Street East,Shepherd Street,West,7,100%,100%,100%,100%,71%,71%,43%,0%,71%,86%,86%,100%,86%,86%,14%
Dawson Street North,Mair Street,Sturt Street,East,34,21%,68%,82%,82%,74%,65%,56%,26%,0%,24%,24%,47%,15%,6%,9%
Dawson Street North,Mair Street,Sturt Street,West,45,20%,80%,80%,82%,76%,78%,60%,20%,4%,7%,18%,18%,11%,2%,4%
Dawson Street South,Dana Street,Sturt Street,East,51,22%,69%,76%,82%,69%,59%,59%,45%,12%,55%,57%,61%,61%,43%,27%
Dawson Street South,Dana Street,Sturt Street,West,46,4%,43%,61%,76%,70%,41%,67%,41%,0%,13%,46%,57%,57%,22%,17%
Doveton Street North,Doveton Street North service road,Mair Street,West,5,60%,80%,80%,60%,60%,60%,80%,40%,40%,0%,60%,40%,20%,40%,0%
Doveton Street North,Mair Street,Market Street,East,3,33%,100%,67%,100%,33%,67%,0%,0%,0%,0%,0%,0%,33%,33%,0%
Doveton Street North,Mair Street,Sturt Street,West,28,79%,68%,71%,100%,93%,54%,54%,79%,25%,86%,100%,89%,100%,4%,18%
Doveton Street North,Mair Street,Wigton Place,East,9,89%,89%,100%,100%,100%,67%,89%,78%,67%,89%,89%,89%,89%,44%,67%
Doveton Street North,McKenzie Street,Sturt Street,East,5,0%,100%,60%,100%,100%,40%,40%,60%,0%,60%,100%,100%,100%,0%,0%
Doveton Street North,McKenzie Street,Wigton Place,East,13,46%,92%,77%,100%,54%,54%,69%,38%,31%,85%,100%,100%,92%,31%,31%
Doveton Street North service road,Doveton Street North,Webster Street,East,4,50%,100%,125%,100%,175%,100%,100%,25%,0%,75%,50%,75%,100%,50%,0%
Doveton Street North service road,Doveton Street North,Webster Street,West,20,25%,65%,70%,70%,70%,55%,40%,0%,25%,45%,80%,80%,80%,50%,20%
Doveton Street South,Dana Street,Sturt Street,East,31,16%,97%,94%,100%,94%,97%,100%,94%,19%,87%,100%,100%,100%,90%,90%
Doveton Street South,Dana Street,Sturt Street,West,24,13%,79%,92%,88%,88%,96%,96%,75%,13%,63%,96%,83%,96%,100%,71%
Drummond Street North,Mair Street,Sturt Street,East,24,92%,75%,100%,75%,96%,83%,42%,50%,17%,13%,33%,42%,63%,67%,42%
Drummond Street North,Mair Street,Sturt Street,West,22,91%,91%,100%,64%,77%,36%,77%,32%,59%,64%,55%,64%,64%,82%,64%
Drummond Street North,Mair Street,Webster Street,East,31,35%,74%,61%,68%,48%,55%,45%,35%,10%,39%,42%,61%,90%,90%,74%
Drummond Street North,Mair Street,Webster Street,West,22,41%,82%,82%,73%,77%,45%,36%,41%,5%,27%,73%,59%,86%,86%,68%
Drummond Street South,Dana Street,Sturt Street,East,24,21%,50%,71%,63%,58%,54%,50%,29%,17%,4%,8%,38%,46%,21%,46%
Drummond Street South,Dana Street,Sturt Street,West,23,74%,74%,87%,78%,78%,83%,61%,43%,17%,26%,22%,57%,30%,52%,57%
East Street North,Mair Street East,Victoria Street,East,11,45%,36%,64%,45%,73%,45%,45%,55%,45%,18%,27%,27%,36%,45%,45%
East Street North,Mair Street East,Victoria Street,West,20,40%,85%,90%,95%,90%,80%,70%,35%,25%,45%,35%,35%,30%,25%,25%
Errard Street North,Mair Street,Sturt Street,East,47,26%,51%,64%,53%,68%,57%,26%,19%,17%,21%,23%,15%,26%,17%,11%
Errard Street North,Mair Street,Sturt Street,West,48,42%,77%,85%,69%,90%,60%,33%,19%,13%,31%,29%,15%,21%,19%,15%
Errard Street South,Dana Street,Sturt Street,East,39,87%,97%,97%,97%,82%,79%,56%,36%,33%,64%,59%,59%,36%,44%,33%
Errard Street South,Dana Street,Sturt Street,West,37,81%,95%,95%,97%,86%,49%,49%,19%,19%,46%,57%,54%,49%,35%,30%
